,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone
Asian Paints Ltd.,20221,33557.2,46233.9,59520.7,53070.8,70.2,,39895.55,8482.2,284.3,2442.5,7074.6,122.9,73219.6,67043.5,19,1,42562.8,7432.5,322.3,2823.5,10571.9,185.4,5791.3,5644.8,2,5598.3,336,6098.2,6034,0.4,6180.3,,7949.5,7849,,7123.9,1.7,7169.3,7059.7,1.8,6374.8,,7423.4,7270.2,20.8,6800.1,,7489.9,7402.1,,7175.9,,9173.1,8912,4,8303.5,19.2,9352.4,9162.4,21.1,7833.5,0.5,8802.6,8714.1,,8162.3,32.3,10112.8,9959.2,,9077.4,5.5,11877.9,11689.7,17,11774.2,7.4,10245.6,10074.4,6.6,9923.9,5.4,11088.8,10977.2,0.4,9101.7,60.2,11855.6,11648.2,45.2,10738.4,,14803.8,13864.6,74.7,12520,8.5,12997.8,12777.1,,11330.4,1.2,13376.3,12960.9,224.3,11771.3,,15085.5,14911.4,,13702.6,0.3,14942.8,14694.9,,14921.7,12.3,17790.5,17542.2,41,14049.9,,16332,16106.3,,15109.2,
Aurobindo Pharma Ltd.,21002,41474.1,46340.4,34404.2,30621.4,92.6,,43907.25,3463.8,972.7,,10453.4,4.3,42870,38295.8,2.4,0,52583.6,2445.7,1394,,13498.9,1.7,4775.1,4630.4,80.9,4546.9,64.4,4253.9,4141.4,52.2,4336.9,0,4686.7,4538.3,13.7,4055.9,0,5127.8,4998.4,9.2,4749.5,0,5350.7,5107.6,90.8,4730.2,31.6,5132.9,4799.5,3.8,4892.8,0,6492,6304,0,5719,0,5494.2,5389.3,0,5119.3,0,6473.8,6403.2,0,5300.9,0,6578.6,6530.5,40.8,6178,19.8,6421.3,6357.1,54.6,7463.7,0,7249.9,7221.7,0,7131,1.5,7894.7,7865.5,19.4,6348.2,0,7923.7,7629.7,0,6722.9,0,8427.4,8263.1,0,7341.8,0,8378.4,8110.6,21.9,7656.2,0,8899,8519.3,-21.9,8124.8,0,8688.1,8675.1,0,7968.4,0,11165.5,10504.3,0,9228.9,0,11604.4,11566.1,0,10599.8,0,10863.3,10585.7,0,9949.9,105
Axis Bank Ltd.,64191,1477588.4,1806805.3,156123.3,130978,,38.7,1642196.85,51840.7,,472.7,11651.8,1045.2,197942.6,164057.7,,69.8,2117132.8,149622.5,,790.1,22504.5,1219,10607.2,8326.5,,9089.9,,11544,9539.2,,10338.5,,12302,10254.3,,10882.2,,14445.5,11648.1,0,12599.4,0,16426.1,13415.1,0,14307.2,0,18792.9,15110.5,,17043.1,,20593.7,16764.9,,18315.5,,22902.4,18023.4,,19834.1,,25719,20154.3,,22105,,28912.4,22664.4,,25611,,32394.5,25450.5,,28365.4,,37169.4,29847.7,,32160.8,,38847.3,30392.2,,33032.8,,38641.3,29055.6,0,33020.9,0,39259.4,28603.6,0,33943,0,38717.4,28836.5,0,32157.6,0,39219.9,29884.5,,31571.2,,43263.7,33255.9,,35844.9,,46574.9,36242.5,,39223.5,,49860.2,38383.1,,40946.6,,58170.6,43666.6,,47969.5,
B E M L Ltd.,28243,41944.6,44595.9,31179.6,30461,0.8,,43270.25,896.9,906.5,,2738.7,,30443.9,30426.2,0,0.2,43849.9,-1583.4,674.6,,3952.1,270.1,8365.8,8048,,5760.7,,3437.6,3347.6,,3759.5,,6187.8,6075.9,,5726.9,,5591.1,5446.5,,5528.7,,9584.8,9384.2,,7789.2,,4069.6,3932.4,,4211,,4872.8,4751.9,,5100.2,,6407.6,6221.4,,6234.1,,10994.3,10490.3,,9678.5,,3090.4,2879.2,,4084.6,,6355,6138.9,,6488.3,,6803.3,6328.5,,6261.4,,12822.7,12625.1,,12355.9,,4786.6,4654.6,,5595.1,,5050.6,4833.8,,6310.9,,7095.5,6953.6,,7615.9,,12849.1,11940.4,25.3,9541.2,,5526.7,5268.5,70.8,6411.2,,5327.4,5092.7,13.4,6205,,6852.9,6581.8,38.3,6203,,10894.6,9416,,9764.8,38.3
B G R Energy Systems Ltd.,42209,26737.2,38177.3,31009.3,28980.4,,1.3,32457.25,3256.6,,,1390.9,135.6,47802.7,44593.2,,0.3,45330,-1942.4,,,1624.3,124,,,,,,,,,,,,,,,,1550.1,1540.7,,1633,,,,,,,2332.1,2324.1,,2240.6,,3115.9,3115.9,,2945.5,,3832.9,3830.3,,3546.9,,5825.9,5786.1,,5513.8,,3130.9,3068.3,,2956.9,,4347.5,4245.7,,4115.3,,4803.7,4724.3,,4591.1,,7266.8,7183.5,,6750.7,,3178.2,3119.5,,2971.1,,4735.7,4682.3,,4427.8,,6401.8,6351.4,,5971.3,,16637,16597.7,,15553.5,,9093.1,9066.7,,8506.3,,11381.7,11356.1,,10602.8,,12585.6,12568.8,,11741.8,,14633.7,14616.3,,1279.2,
Bajaj Auto Ltd.,30911,60473.6,87389,126750.4,110225.3,98.7,34.2,73931.3,27039,1035.3,1402.1,14795.9,0,187525.9,154956.5,8388.1,201.2,90791.9,14857.8,1129.5,816.9,14827.1,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,21419.8,21086.5,0,19562.8,0,23877.7,23618.2,0,21740.5,0,25442,25012.5,0,23375.8,2.9,20950.1,20744.5,1.2,20131.2,0,23334.5,23046.7,0,21236.9,0,25412.8,25191.8,0,24562.1,0,21409.8,21031,0,18885.9,19.4,19165.5,18834.1,0,17847.8,0.4,23834.1,23384.7,0,20422.4,0,29092.4,28875.1,0,25429.4,0,33306.8,32955.5,0,28136.6,0,34419.6,33994.5,0,30139.4,9,39717.3,38900.6,0,32946.9,0,44255.3,43418.2,0,37754.5,0,42765.4,41770.8,0,35715,0,51277.6,41447.9,8268.2,39029.8,1022.7
Bajaj Hindusthan Sugar Ltd.,10721,65439.5,111049.7,32403.9,39402.1,2.5,1,88244.6,-6755.1,,,54799.1,11.7,52034.9,43030.2,,27.1,106683.75,15792.3,,,53896.4,5.2,3998,3949.2,0,7116.2,0,4336.3,4088.5,0,1492.6,0,4029.2,3681.7,218.2,910.9,0,2995.9,2866.4,0,5245.7,0,5301.4,5139.2,23.8,11293.2,0,5386.2,4801.5,445.4,4649.9,0,8873.7,4323,53.6,2182.4,0,3527.2,3527.2,0,4896.4,0,5000.4,5000.4,0,10918.3,0,5056.9,4731.4,324.1,3032.7,0,5236.7,4767.7,467,2722.4,0,3943.7,3622.4,321.3,5643.2,0,5463.9,5159.3,0,6888.6,16.7,4334.4,3993.3,0,1599.9,0,5033.3,5032.1,0.5,1660.2,0,6322.8,6291.3,0,8903.7,0,6320.3,6319.5,0,19097.3,0,7634.1,7277.8,208.7,6219.4,0,8876.9,8856,0,2889.7,0,14830.2,14830.1,0,14527.9,0,12630.1,12576.7,0,20219.4,0
Bajaj Holdings & Invst. Ltd.,64300,54876,65223.1,8523.5,862.8,,52.6,60049.55,6775.4,,,298.5,,10788.3,787.4,,,58068.4,6917.8,,,295.9,,22941.3,21658.6,251.8,19901.1,0,22972.2,22026.6,0,20088.1,103.9,25784,24359.7,0,22539.7,12.6,27295.5,25682.3,3.7,23890.4,0,24712.8,23135.5,0.3,21866.3,0,657.8,657.8,,109.3,,1017.9,1017.3,,88.2,,1258.1,175.9,,151.8,,619.5,619,,133.8,,204.2,160.3,,52.2,,1610.4,1608.7,,97.9,,136.3,126.7,,56.1,,633.4,202.1,212.5,417.9,250,3034.8,477,,122.8,,3078.9,1275.6,,89.7,,1315.8,187.9,,166.8,,705.3,279.5,,94.8,,1450.5,570.1,,146.1,,6081.5,2333.6,,178.5,,2662.3,379.6,23.8,199.5,,594,397.1,,263.3,
Balrampur Chini Mills Ltd.,10721,27653.5,39896.1,30925.8,41255.9,32,182.3,39894.3,-6318.8,,,17099.4,0.5,30925.8,41255.9,32,182.3,39894.3,-6318.8,,,17099.4,0.5,3344.1,3322.6,0,6203.1,0,3939,3932,0,2132.9,0,3902.5,3882.2,0,707.4,0,3387.7,3387.7,0,4220.2,0,3991.1,3969,0,7629.4,0,3756.2,3652.6,85.9,3964.6,0,2979.7,2977.7,0.7,855,0,4377.2,4377.2,0,3297.3,0,3111.5,3108.4,0,8321.1,0,3169.2,3164.9,0,2211.7,0,4170.6,4167.3,0,1264.9,0,4299.8,4294.5,0,4206,0,3573.4,3571.1,0,6037.2,0,5382.4,5380.7,0,1085.6,0,3922.6,3799.6,115.4,951.6,0,4414.4,4394.8,0,5332.4,0,4712.2,4705.1,0,10343.8,0,5405.6,5403.2,0,2082,0,5131.3,5127.6,0,2555.3,0,5324.9,5315.1,0,6282,0,4717.2,4681.9,0,12672.7,0
Bank Of Baroda,64191,2266722.3,2783166.9,200509,169925.7,12.6,12.1,2524944.6,203656.7,,444.6,22208.3,,249754.1,207337.3,13.7,15.5,3177356.9,149301.8,,575.1,22559.5,,23270.7,19550.5,,21182.7,,21928.7,19676.7,,20295.5,,24550.9,21333.5,0,21667.3,0,26681.8,23345.1,0,23390.5,0,30698,26209.4,0,28241.4,0,30248,26004.4,0,26939.6,0,33338.3,28797.7,0,30066.4,0,36201.8,30021.9,0,31191.3,0,38857,33310.7,0,36092.6,0,38063.7,32938.2,0,34355.1,0,40269,35509.8,0,36316.1,0,50235.6,41080,690.7,43151.9,0,49924.1,41387.8,,42397.2,,47741.1,40321.1,389.6,40887.3,0,47307.5,41354.2,0,40965.7,0,48366.2,41769.7,0,40041.3,0,52021.8,43538.4,814.5,42959,,53442,47269.6,0,44850.4,0,58399.6,51586.6,0,48206.6,0,63423,56661.5,0,52734.2,0,71686.5,63341.6,,58743,
Bank Of India,64191,2259316.6,2749664.7,204946.2,187535.5,,,2488796.1,187269.3,,474.7,22867.5,,243934.9,219047.8,,,3116954.7,260194.2,,586.5,23659.3,,23265.8,20021.8,,20721.6,,22715.1,19608.6,,20627.8,,25192.9,21660.4,0,23071.6,0,25794.5,22571.4,0,23245.8,0,31289.9,25522.5,,26815.5,,31084.1,27272.6,,27932.1,,35036.7,29752.4,,30784,,37052.1,31511.1,0,31933.2,0,41548.6,35016.1,,33978.2,,41147.4,35483.2,,35527.9,,46122.7,39627.7,,38494.1,,53937.4,43431.7,0,45215.7,0,52784.7,44931,0,44681,0,50236.1,43777.2,0,44392.9,0,51649.6,44889.9,0,48416.2,0,50580.6,44864.6,0,46525.6,0,52482.3,45250.6,,48203.2,,54076.2,48217.2,,46824.9,,57400.5,51555.5,,51232.7,,61157.6,54675.2,,54626,,71300.7,63069.3,,66364.3,
Bata India Ltd.,15201,5844.2,6158.9,12938.8,12212.9,3.3,6.4,6780.65,1628.4,49.3,181.1,1531.3,,16959.9,15598.2,25,0,8355.05,697.9,50.2,171.5,2190,5.4,1678.8,1668.4,0,1983.6,0,2246.3,2227.9,0,1914.4,0,1734,1703.4,0,1769.4,0,2359.9,2102.3,45.1,1993.4,0,1837.6,1826.7,0,2015.8,0,2507.7,2498,0,2200.9,0,2038,2012.2,0,2265.9,0,2421.7,2340.4,0,2138,36.4,2197.3,2189.1,0,2490.4,0,2884.7,2870,0,2216.6,0,2288.2,2252.6,0,2272.4,0,2611.4,2562.7,0,2313.1,0,2349.1,2337.3,0,2559.6,0,3117.1,3102.2,6.8,2578.2,0,2624.2,2611.1,4.3,2623.6,0,2925.6,2913.6,0,2507.7,0,2624.3,2615.7,0,2740.6,0,3526.8,3512.1,0,2942.9,0,2966.9,2941.8,0,3111.6,0,3619.7,3598,0,3210.7,0,4262.3,3124.2,0,3703.8,0
Bharat Electronics Ltd.,26519,100810.5,109182.2,55953.8,49122.6,34.2,313.5,104996.35,10277.4,2916.1,51.6,4899.7,48.8,59434.5,50913.4,13.6,,133054.35,30175.3,3502.7,74.4,4837.1,22.1,15892.4,15539.6,,10617.1,,5115.9,4732.2,,4710.6,,8739.7,8231.3,,8296.4,,9045.1,8637.9,,7774.1,,17916,17341.7,,13274.1,,4731.6,4043.9,,4536,,7606.3,7129,,7204.3,,7285.6,6915.8,,7690.7,,23604,23051.6,212.3,16200.8,,4450.8,3921.8,,5228.3,,8339,7877.1,,8335.6,,7165.4,6810.1,,10497.5,,27830.4,27534.9,,22200.3,,9543,9105.6,,8879.4,,13529.8,13082.4,,10527.6,,12846.7,12404.7,,11373.8,,19569.8,19145,,17036.3,,9756.3,9241.8,,8607.4,,10457.7,9779,,9749,,14190.3,13729.9,,11971.9,,24376.7,23566.5,,19761.6,
Bharat Forge Ltd.,30913,41711.2,45154.4,19817.8,18818.4,,0.6,43432.8,5330.8,28.6,,17761.2,0,31502.1,28752,,0.4,45012,3410.1,61.4,,17632.7,,4527.4,4384.1,0,4057.4,0,4438.2,4205.7,0,3915.5,67.5,4698.9,4506.8,0,4170.3,0,4933.2,4771.2,0,4383.9,0,5378.7,5160.5,0,4794.5,0,5502.1,4968.7,0,4857.4,0,5884.9,5632.2,0,5291.5,0,5720.2,5567.3,0,5150.6,0,6226.6,5796.7,0,5504.9,0,6494.5,6373.6,0,6278.7,0,6857.8,6755.6,0,7075.9,0,4667.2,4530.5,24.4,4647.3,0,4055.3,2926.2,0,3370.7,0,3638.2,3586.4,0,3504.6,0,4335.5,4265.5,0,4214.9,0,5169.6,5075.8,0,4808.4,0,5744.1,5636.3,0,5360.6,0,6402.3,6300.9,0,6118.1,0,7272.6,7186.8,0,6725.3,0,7895.2,7769.6,0,6914.3,0,8374.9,8212.7,0,7437.3,0
Bharat Heavy Electricals Ltd.,28199,483337.3,544094.8,384327.7,349087.8,3,,513716.05,14269.9,7915,,24154,429.3,459906.5,401068,42.7,,610626.1,26586.1,9439.9,,34009.2,1355.9,57322.1,55189.4,0,48029.9,0,27794.6,26593.7,0,25476.9,0,35080,33381.1,0,34392.1,0,45251.6,43396.9,0,39810.6,0,72057,69196.8,0,58168.5,143,34402.4,32339.2,0,31370.2,0,44662.5,39653.6,0,41583.7,309.8,52290,50590.5,0,45258.1,0,76454.1,74484.5,192.1,69276.2,0,46209.8,44150.4,0,42222,0,56498.4,54447,0,54741,0,63285.5,61488.4,0,60916.8,90.1,111334.1,108500.5,861.7,99581.3,0,59158.4,56714.2,173.3,54753,0,69230.2,67275.2,0,62438,0,74225.1,72292.2,0,69031.1,369.5,142114.5,139446.5,588.2,123266.2,0,67644.9,66010.4,0,62220.9,0,86564.1,84906.5,37.7,79072.8,0,91762.6,90233.2,0,80489.3,0,186669.3,182216.5,776.8,152019.4,0
Bharat Petroleum Corpn. Ltd.,19209,481777.4,545666.5,1337731.1,1362254.3,40.7,,513721.95,-15466,278.6,,136693.5,563.2,1650841,1655936.2,,76.9,558827.35,30091,222.2,,159993.3,630.1,227614,226429,0,211231,0,228198,227107,0,228301,0,267381,265174,0,259405,0,243543,242056,0,242458,0,244005,241265,0,236962,0,243195,238694,0,238628,0,255481.4,251816.7,0,257751.7,0,292467,289284,1279,278458,0,327129,325786,0,323704,0,392977,390474.8,0,418722.2,0,381487.3,378506.9,0,427771.3,0,321846.3,319080.3,0,275135.2,0,271153.8,265252.7,0,222718,0,261956,255143.7,0,264827.4,0,276046.2,270923,912.2,308764.7,0,326484.9,321828.9,0,315539,0,381587,375703.2,0,381465.3,0,345534,342325.2,0,365945.2,0,359683.6,354347.7,0,359448.5,0,369962.2,366859.3,0,359726.7,1050,457555.5,452822.9,0,452708.6,0
Bharti Airtel Ltd.,61202,533022.5,613388,368381,274114,,171,573184.1,126282,,5508,280250,21778,385095,307926,5,246,704828.5,132302,,7215,407007,132231,32904.1,32703.6,0,27791.7,0,37043.1,36824.7,37.5,28899.3,0,42150.5,41809.1,20.7,33267,0,47236.8,47123.2,0,36799.9,0,52507.7,52187.3,0,39639.3,0,59511.7,56116.2,0,45382.5,0,61234.1,60598.9,0,45042.6,0,66825.7,66182.7,0,52627.3,0,74468.2,74137.3,0,56545.2,0,80107.9,78930.1,0,59640,0,83028,82743.7,0,66980.2,0,88502.5,88301.1,0,68329.6,0,90496.6,90168.1,0,69746.7,0,94864,90405,0,67989,0,89271,89017,0,66302,0,89973,87555,0,66852,0,92242,89119,,70945,,93737,93237,0,74428,0,93992,92999,0,72989,0,95786,95637,0,77308,0,98784,98291,,80405,
Bhushan Steel Ltd.,24105,121510.2,173401.6,61210.9,55707.5,18.7,,147455.9,3952.4,,,20793.3,3.6,76458.1,71124.6,18.9,,213058.5,10077,,,125663.2,6.1,7450.7,7405.2,0,6459.3,0,7929.9,7875.5,0,8430.1,0,9995.8,9947.1,0,9639.7,0,10059,10008.1,0,9275.4,0,11108.9,10546.6,412,9567.5,0,9672.5,9380.3,0,9477,0,10815.9,10769.8,0,9413,0,9906,9876.5,0,10273.4,0,12385.1,12164.1,207,11259.5,0,13213.5,13197.9,0,13571.7,0,15189.8,15154.9,0,13107.6,0,10064,10023.3,0,7971.5,0,11288,11198.7,0,9909.8,0,13374.9,13047,0,12045.3,0,13048.2,12984.8,0,10804.9,0,14546.4,14290,0,13563.4,0,16594.9,16087.4,0,15785.5,0,13782.8,13726.5,0,15989.2,0,17305.1,17189.1,0,15108.4,0,19527.2,19427.4,0,14451,0,20040.3,19661.6,0,19533.8,0
Biocon Ltd.,21009,18861.9,22771.6,12650.8,10556.7,,28.3,20807.25,2205.4,624.8,,6784,184.1,17437,13122,,3,24447.05,3479,1063,,6796,134,1860.8,1824.5,28.2,1515.7,0,1851.3,1837,0,1621,0,2205.5,2191.1,3.9,2109.1,0,2163.5,2140.8,0,1703.6,0,2458.2,2335.9,43.6,1882,0,2315.9,2274,0,2034.2,0,2413.2,2355.9,0,2011.4,0,4580.8,2004.6,0,1716.3,0,2376.2,2259.8,9.1,1675.1,0,2374.6,2292,0,2145.8,0,2682.7,2534.2,0,2435.2,0,2439.4,2254.7,23.9,2343.7,0,2465.3,2297.2,66.8,2187.2,0,2587.1,2515.8,0,2086.2,0,3124.4,3011,0,2667.5,0,3159.8,3098.4,0,2578.2,0,3417.9,3361.2,0,2863.3,0,3383.3,3322.7,0,2812.1,0,3506.2,3446.1,0,2961.3,0,5159.4,5101.2,0,2872.3,0,3966.2,3781.5,0,3055.3,0
Bombay Dyeing & Mfg. Co. Ltd.,20301,25470.6,24458.9,19850.8,17209.8,,1.7,23956.95,750.3,,108,9521.8,60.8,20143.9,28433.2,,7,22391.95,5519.7,,122.8,8973.3,48.9,2220.5,2126.2,8.7,2284.3,0,1243.1,1202,0,1097.7,0,1314.9,1266.1,0,1134.5,0,1200.4,1066.3,0,1049.6,0,2543.5,1451.5,0,2535.2,0,2638.4,1261.8,1285.3,2408.2,0,1749.9,1724.1,0,1649.1,0,3132.7,3079,38.8,3848,0,4243.1,3955.9,263.2,3522,0,3350.6,3350.6,0,3973.4,0,2653.2,2618.6,0,3731.8,0,3248.5,3242.8,0,3556.9,0,4513.1,4512.7,0.4,4491.6,0,3507,3507,0,3541,0,3737.2,3737.2,0,4057.4,0,4089.7,4089.7,0,3942.2,0,5394.1,5389.1,0,4978,0,4309.7,4307,0,4783.2,2.2,4270.3,4233.6,0,4499,0,4370.8,4353.2,0,4615.7,0,6256.7,6083.9,5,13594.1,0
Bombay Rayon Fashions Ltd.,13919,31085.2,46994.6,16304.3,16045.6,,14.6,39039.9,361.5,,6.1,19259.2,,22783.3,22573,,0.8,55498.85,-25.6,,15,28681.8,83,589.2,580.3,0,662.8,1.9,815.4,812.3,0,808.4,0,1045.4,1032.6,0,1032.8,0,1327.6,1316.2,0,1275.5,0,1783.4,1732.8,6.9,1725.7,0.6,2052.3,2012.5,0,1936.5,0,2340.6,2246.1,0,2242.8,0,2453.5,2387.6,0,2185.4,0,2615,2615,0,2875.4,0,2763.2,2750.7,0,2574.7,0,2885.8,2870.2,0,2651.5,0,3459.3,3449.3,0,3185.5,0,3506,3332.2,163.1,3628.1,1.9,3414.3,3363.5,0,3401.2,0,3880.7,3864.4,0,3895.4,0,4192,4179.4,0,4164.8,0,4817.3,4740.4,0,4584.2,3.2,5049,5027,,4939.8,,5268,5231.8,,5008.8,,5492,5441.8,,5366.6,,6974.3,6847.8,,7257.7,
Bosch Ltd.,30913,45574.3,50177.3,75366.9,68721.9,6.8,,61779,8702.8,646.1,996.6,4359.9,,91004,81871,9,,72478.35,3809,805,934,5917,0,9534.4,9051.6,128.3,8389.8,0,10898.5,9191.5,1440.6,8599.2,1.7,10361.7,9974.3,79.2,9103.7,0,10849,9619.4,165.8,10529.1,0,11679.9,10760.1,0,9539.2,0,11410.9,10792.8,33.7,9764.2,0,10933.3,10612.8,36.1,9979.4,0,12766.6,12376.9,121.6,11506.5,0,12560.3,12132.3,0.5,10556.9,0,13571,12354.3,1.3,11456,0,13395.3,12685,0,12117,0.9,11038.5,10457.8,91.6,10280.1,0,10434.3,10062.5,0.6,9218.9,0,13487.5,12472.7,1.4,11564.7,0,13779.2,12967.6,7.7,11815.2,0,15202.8,14542,142,14731.9,0,16404.2,15964.1,0,13774.6,0,17449.3,17042.5,0,16661.8,0,17653.8,17151.3,0,14937.9,0,19400,18836.1,53.1,18891.7,0,21431.4,20857.9,0,18646.3,0
C E S C Ltd.,35102,103551.3,113702.6,35272.1,30939.1,14.5,,94305.65,8612.2,2.5,,72327.1,1489,43191,38307,,7.8,103665.7,9925.1,7,,74785.5,1390.7,6050,5840,0,5610,0,6950,6740,0,6400,0,7180,6750,220,6490,0,6150,5930,0,5540,0,5740,5460,0,5130,0,7630,7220,130,6810,0,7730,7510,120,6800,0,7050,6950,0,6120,0,6790,6530,0,5930,0,8420,8160,0,7480,0,7860,7640,0,6620,0,7910,7630,0,6930,0,7750,7540,0,6810,0,8370,8200,0,7320,0,9850,9640,0,8590,0,8230,7970,0,7210,0,7900,7700,0,6900,0,11110,10960,0,10010,0,13390,11050,0,11840,0,9610,9390,0,8510,0,10230,10030,0,9110,0
Cairn India Ltd.,6102,321905.4,335160.6,1721.7,2411.2,,,328533,-1280.6,,9.5,0.2,0.2,951,3077.7,,,334176.65,-531,48.3,20.9,24.7,0,,,,,,,,,,,,,,,,,,,,,126,5,,211.4,,88.5,3.6,,164.2,,79.4,2.8,,163.4,,45.7,1.3,,588.8,,226.6,8.9,155.7,313.9,,225.8,9.7,,692.6,,1201.2,5.5,122.9,386.8,204,780.8,9.9,24.4,329.6,,715.1,3.4,21.8,884.1,,576.1,2.5,,390.2,,497,2.1,116.8,186.1,,420.6,14.7,58.5,782.3,,365.5,12.8,50.1,1190,,195.4,11.6,,623.1,,258.6,7,,1018.8,,244,3.4,,913.6,,274.8,1.9,,544,
Canara Bank,64191,2196458.1,2650516.8,227402.4,197188.1,27.8,,2401983.25,215734.6,,198.6,28593.7,,283454.7,243195.8,4.5,,2985277.55,181173.5,,243.8,28444,,28265.9,23906.4,400,23330.7,,27554.9,25127.6,,25645.6,,29779.3,26799.5,0,26161.6,0,32453.9,29613.6,0,28823.7,0,38367.1,32104.9,,33316.2,,37600.7,33799.7,0,35195.2,0,40546.6,34826,0,36530.9,0,40966,35501.6,0,36377.7,0,45022.7,37880,,40382.1,,40990.5,37305.4,0,39763.7,0,44479.7,41092,0,39185.4,0,53829,46254.4,0,46814,0,55003.5,46538.8,,47815.4,,50319.5,45583.8,,44766.2,,56021,47091.6,,46915.8,,54691,46878.1,,44165.2,,55067.2,47966.2,,50036.2,,58948.5,51608.8,,48814.8,,60770.6,55464.8,,50691.8,,64445.5,58781.5,,53388.2,,73505.9,63887.2,,64516.9,
Central Bank Of India,64191,1480168.8,1831007.6,138220.6,127638.3,,3.2,1635733.5,74758.8,,172.2,23432.9,,164857.2,152333.1,,1.1,1946704.7,-69789.3,,969.4,24253.9,,,,,,,,,,,,,,,,,16872.7,15801.9,0,15531.7,0,19935.4,17749.1,0,18444.1,0,18740.2,17591.3,0,17756.7,0,21065.6,19187.3,0,19829.6,0,22170.8,19933.4,116,20160.7,0,25989.2,22114.3,0,24717.2,0,25725.3,24112.9,0,25132.1,0,27688.9,26744,0,26727.4,0,31305.6,27222.2,971.5,27773,0,31503.3,26472.8,,30878.2,,32222.4,28024.8,261.8,29554.4,,33841.2,29755.2,,30701.9,,34954.2,31313,0,31889.8,0,37239.5,31550.1,,35528.9,,36579.7,34108.2,,33211.6,,38898.4,36443.9,,35104.6,,41825.9,39330.6,0,37790.7,0,48628.2,42323,1076.1,47301.2,
