,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone,Quarterly Interim Standalone
Adani Power Ltd.,35103,78258.7,168386.1,4667.9,2959.9,,,123322.4,-163.3,,,26528.7,13.2,21942.8,16705.3,6.6,,213699.15,14502,,,78093,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.7,0,0,,0,0.7,0,2335.9,2335.9,0,1611,0,2332,2012.7,0,1348.9,0,3610,3531.4,,2465.2,,4457.4,3951.7,0,3199,0,5419.9,5026,0,4328.8,0,8812.7,8555.7,0,7069.5,0
Aditya Birla Nuvo Ltd.,13999,96006.7,98850.9,50834.1,47968.5,6.6,71.3,97428.8,10647.6,17.1,607.5,15522.2,517.7,68044.9,65873.8,,8.1,100668.7,3321.1,,880.2,17695.8,412.7,7789.1,7628.2,54.9,7375,0,8093.1,7831.8,0,7836.4,0,9122.7,8964.9,2,8472.2,0,8920.9,8811.5,89.1,8601,0,8926.4,8596.6,223.5,8358.5,0,7879.8,7801.2,24.1,7934,0,9253.5,9214.2,14.2,9028.8,0,11176.1,10976.3,182.4,10401.3,0,11713.6,11539.2,144.1,11064.8,0,10861.8,10790.3,0,10653,0,13435.8,13366.1,0,13172.8,0,12424.8,11966.4,294.1,12743.1,0,12150.2,11739.1,130.9,11145.9,0,10225.2,9968.3,95.1,10098.8,0,12491.8,12279.4,0,11823.6,0,12684.1,12517.4,0,11938.3,0,14163.2,13509.7,486.6,12819.2,0,13258.2,13111.4,0,12950.1,0,16591.9,16388.1,0,16430,0,17285.9,17150.4,0,16264.2,0,17957.1,17797.9,0,17285,0
Allahabad Bank,64191,976577.7,1217041,103268.9,91205.6,,5.6,1088099.05,102817,,216.4,11182.8,200.5,124765.6,110534.5,0.4,0.4,1356311.1,53608.3,,358.2,11482.3,355.9,11836.1,10379,,10331.1,,11784.7,10390.5,832.6,10502.2,,12626.7,11457.5,197.4,10526.4,,14112,13049.6,83.7,11250.7,0,15192.9,13941,,13935.5,,15351.1,14404.6,0,13347.1,0,16642.9,15085.7,0,14245,0,19564,15562.3,0,15913.5,0,19801.7,17200.1,,18106.6,,18496.3,17056.2,0,17562.7,0,19772,18459.6,0,19355.2,0,23064.4,18980.4,0,19369.7,0,23734.4,19151.7,0,21093.5,0,23776.9,20081.8,0,20748.3,0,24515.3,20467,0,21179.4,0,24472.9,21077.6,0,21019.2,0,26086,22065.7,,23840.9,,27016.8,24031.2,0,23545.4,0,29816.6,26369.2,0,25791,0,31130.9,28554.5,0,26972.9,0,35886.8,31192.1,,33310.7,
Alok Industries Ltd.,13131,91668.5,121964.3,45991.6,46856.4,16,828.4,106816.4,1845.5,,,62058.6,490.1,67553.5,65735.4,,17.4,132467,11260.8,,,74272.1,429.2,4092.4,4077.4,0,4398,0,3578.6,3578.6,0,3257.1,0,4171.8,4171.8,0,3971.3,0,4831.5,4799.2,0,4485.5,0,6094.2,5740.8,0,5297.3,0,4466.6,4189,275.7,4617.4,0,4755.2,4647.8,72.2,3689.9,0,5572.3,5507.8,56.3,5758.3,0,7248.7,7247.9,0,6191.6,72.3,5444.5,5434.4,0,5794.9,14.8,6985.6,6981.4,0,6492.1,31.1,8168.6,8164.1,0,7717,25.2,9247.5,9083.9,0,10845.8,10.9,7866.5,7862.8,1.1,7240.3,0,9755.8,9747.9,0,8552.6,0,10840.2,10824.7,0,13206.7,0,14733.1,14711.3,4.9,15501.8,0,10990.2,10989.7,0,11568.5,0,14526.8,14515,0,14777.3,0,16114.4,16086.4,0,15049.1,141.6,22202.1,21958.7,0,21395.5,340.3
Alstom India Ltd.,42209,29136,30796.2,21228.5,20925.2,2.6,,29888.45,3440.3,,,3415,81.5,19033.7,17345.6,2481.2,2729.1,31308.7,2739,,,3533,46.4,2591,2499,,2385,,2305,2237,,2189,,2779,2677,,2466,,3146,2977,,2843,,4315,4306,,3953,,2500,2413,,2325,,4087.3,4026.9,,3844.4,,4077.1,3996.4,,3776.8,,5258,5204,54,5243,,3758.1,3662.2,,3574.9,,5953.5,5871.8,,5363.4,,5447,5381.7,,5133.2,,8171.6,8092.3,,7909.7,,5084,5041.8,,4769.5,,4978.1,4938.3,,4598,,4580.4,4539.8,,4185.5,,6249.9,6192.2,,6088,,3661.1,3583.7,,3603.7,,3221.1,3134.9,,2990.8,,3837.1,3716.5,,4116,,7912.9,7788.9,,6314.8,
Alstom T & D India Ltd.,42209,28898.6,41802.1,42843.2,42202.1,0.2,,45722.45,1093.2,57.3,,8542.4,0,44595.5,43818.6,149.9,,46071.35,2521.1,250.1,,6487.5,0,3044.1,3021.9,0,2855.6,0,3291.2,3281.3,0,3043.3,0,3715,3589,98,3788,0,5105,5009,12,4843,0,4125,4104,0,3833,0,4328.5,4301.5,0,3924.8,0,4373,4371.2,0,4184.4,0,7404.9,7399.1,0,6002.2,0,5147.6,5063.7,83.9,4938.3,23.5,6248.2,6234.2,12,5918.3,80,5885.3,5864.6,19.1,5847.3,48.9,9388.4,9388.3,0,8588.3,243.8,8699,8699,,8128.9,82.6,7882.5,7882.5,,7333.6,35.8,7509.5,7509.5,,7240.5,,11650,11598.7,50.6,10726,,7768.4,7768.4,0,8507.4,0,8854.9,8854.9,0,8964.1,0,10476.5,10476.5,0,9912.7,0,13271.7,13270,0,12346.2,0,9949.1,9949.1,0,10048.5,0
Ambuja Cements Ltd.,23942,78533.7,89013.7,87318,75217.6,399.1,32.7,96477.95,18501.1,5.8,840.7,56277.5,120.5,100661.3,87794.4,332,362.2,110129.8,14830.5,2.7,759.4,61864.6,18.5,9781.3,9242.9,0,6802.9,0,13254.6,13137.4,0,10005.4,0,11607,11310.3,0,9002,0,13693.6,13291,0,10169.3,0,16932.4,14195.1,0,11166.2,0,21019.6,14507.4,3253.6,12498.4,0,13395.4,12999.3,0,10550.9,208.8,15055.8,15020.7,0,15064.9,86.6,16968.2,16635.1,0,13204,58.6,19247.6,15749.7,109.9,14083.2,0,14432,14019.3,0,12462.9,0,16747.6,16413,-58.6,14248.8,-58.6,18872.3,18626.6,0,14761.5,0,19165.8,18884.7,0,15787.5,0,17003.9,16426.3,0,14275.8,0,18285.1,17877.2,0,15824.2,0,21173.7,20187.6,0,16056.4,525.5,21143,20883.9,0,17854,0,16135.6,15830.4,0,15206.7,0,18716.6,18273.6,64.5,15958.5,0,22745.6,22224.7,0,18833.5,0
Andhra Bank,64191,685292.3,904308.1,73795.6,63337.1,5.5,,794800.2,79315.7,,67.4,3376.1,680.9,91885,79214.3,8.6,532,997700.25,2441.3,,98.2,2958.1,482.7,9057.8,7231.9,555.7,7671.9,,8444.4,7601.3,0,7280.3,0,8920.1,7725,94.9,7455.7,0,9269.2,8127.6,0,7906.4,0,11083.3,9699.4,,9695.6,,11019.1,9704.5,0,9608.2,0,11834,10251.8,0,10321.9,0,12333.4,10651,0,10743.2,0,13429.5,11488.2,,12187,,12661.2,11573.6,0,11885,0,14545.3,13281.3,,12930,,15922.5,13824.2,0,13795.6,0,18271,15067,,16258.9,,17459.1,15046.2,32.2,14896.9,0,17909.1,15577.2,0,15169.4,0,18268,16025.6,0,15514.1,0,19770.7,17079.6,,17368.1,,20732.4,18650.5,,17528.3,,21323.3,19411.6,,18293.6,,23202,21215.8,,19892.9,,26624.8,23635,,23497,
Apollo Tyres Ltd.,22119,31626.2,44616.8,54792.9,50904.7,,39.3,38090.3,7026.6,229.3,410.3,16102.2,26.7,60755.4,62860.1,161.1,,51293.45,1533.1,291.1,331.3,23810.8,57.3,7548.5,7458.5,86.8,7236,0,7573.7,7572.7,0,7565.7,0,7675,7673.3,0,8183.4,0,8576.3,8575.2,0,8022.6,0,9128,9102.1,0,8360.7,0,8799.2,8741.5,0,8405.2,0,8478.8,8474.3,0,8544.8,0,9743.9,9741.3,0,9015.6,0,10016.3,10013.4,0,9432.4,0,10768.3,10758.6,0,10430.9,0,9821.7,9818.7,0,10676.5,0,9041.9,9032.6,0,9447.2,0,11185,11105.7,0,8915.2,0,11808.5,11802.6,0,10818.1,0,12215.9,12203.3,0,11308.2,0,13237.2,13234.3,0,12076.4,0,13215.8,13127.8,0,12351.6,0,11219.3,11212.7,0,11411.8,0,11813.7,11756.1,0,12905,0,14352.1,14321.1,0,15707.7,0,18005.4,17616.3,0,17129.9,0
Ashok Leyland Ltd.,29102,79261.8,93230.5,81672.4,79954.1,52.7,112.6,72756,10673.2,1333.2,,42495.7,554.9,124372.4,119814.8,18.9,33.3,86504.9,8804.7,2049,,46337.9,2894.1,17433.4,17348.1,0,14137.6,0,14377.5,14238.7,0,14507.1,0,17093.8,16757.2,0,16694.6,0,17839.4,17775.9,0,17738.4,0,23079,22909.9,0,19683.4,0,16483.8,16211.4,0,16869,0,17616.5,17458.9,0,17689.6,0,18437.8,18000.8,0,17792.7,0,25730.3,25655.6,0,22140.3,0,18954,18879.9,0,21058.4,0,18942.6,18704.7,0,20029.5,0,10309,10044.9,201,8841.2,0,12302.3,12181.2,0,9167.5,0,9730.7,9180.7,0,9278.6,0,15832.4,15772.8,0,14524.8,0,18413.1,18174.9,238.2,20001.5,0,29413.5,29390.4,0,25283,0,23533.3,23479.8,0,22938.2,0,27201.9,27139.5,0,26456.2,0,22295.8,22272.5,0,23356.1,0,38641,38484.5,0,33756,0
