||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone
Cummins India Ltd.|28110|22204.30|23915.80|31572.00|26936.30|8.40||23060.05|5759.40|317.60||2944.40|129.50|43803.40|38356.30||2.30|26493.30|4292.50|326.90||3563.70|81.20|4073.80|3876.60|0.00|3584.90|0.00|4077.00|3914.50|0.00|3616.50|0.00|4869.10|4674.40|0.00|4237.50|0.00|5029.50|4769.80|0.00|4475.20|0.00|5285.50|5049.10|0.00|4748.30|0.00|5654.90|5423.40|0.00|4893.70|0.00|5545.00|5401.30|0.00|4928.40|0.00|6171.10|6048.20|0.00|5502.10|0.00|7163.90|6967.60|0.00|6368.60|0.00|7447.00|7302.30|0.00|6878.40|0.00|8241.90|8083.80|0.00|7252.90|0.00|8029.50|7709.30|192.00|6817.40|0.00|10822.70|10815.00|0.00|9355.60|0.00|6564.10|6398.00|0.00|5434.60|0.00|6442.60|6278.00|0.00|5722.30|0.00|8650.70|8379.60|65.40|7076.50|0.00|8072.40|7934.80||6860.70||9375.90|9279.40||8456.80||11119.40|10914.30|0.00|9076.00|0.00|10027.80|9925.20|0.00|8635.90|0.00|10690.50|10410.60||9614.30|
D C B Bank Ltd.|64191|59576.30|61512.30|5691.30|6475.80||2.50|59951.70|-564.30||14.40|1357.40||6483.60|6269.30|10.50|0.80|67307.25|868.10||12.40|1275.00||804.60|659.50||1291.10||943.40|737.90||900.00||979.40|800.60|0.00|972.80|0.00|1134.20|862.30|0.00|1106.50|0.00|1337.30|1068.50||1341.40||1480.90|1151.30|0.00|1423.60|0.00|1793.80|1362.90|0.00|1648.90|0.00|1753.00|1371.10|0.00|1495.90|0.00|2335.50|1741.30||2411.50||2061.30|1664.50|20.80|2006.90||2039.50|1712.30|26.50|2029.50|0.00|1980.50|1676.20|28.90|2012.80|0.00|1647.40|1398.90||2560.50||1470.60|1241.80|0.00|1823.30|0.00|1457.40|1115.40|0.00|1626.70|0.00|1347.70|1089.30|0.00|1528.60|0.00|1389.20|1143.30||1470.80||1498.70|1199.40|0.00|1527.80|0.00|1547.80|1278.80|0.00|1499.60|0.00|1662.30|1402.20|0.00|1580.60|0.00|1774.80|1482.30||1661.30|
D L F Ltd.|68100|251488.30|289508.80|32341.70|24670.70|32.80|2.60|270498.55|3663.40||363.90|17290.10|264.20|41843.30|29147.50|0.00|3.20|318707.20|14860.30||165.00|17431.00|206.60|||||||||||||||||||||12071.10|11218.70|0.00|6278.40|0.00|12071.10|11218.70|0.00|6278.40|0.00|12997.40|11211.90|174.80|5331.20|0.00|18125.90|16765.10|0.00|12067.50|0.00|17565.20|16133.20|0.00|11179.70|0.00|14938.60|12786.10|0.00|7928.70|0.00|13628.60|10749.50|0.00|7238.50|0.00|6941.60|4244.10|107.70|5161.00|0.00|3937.70|555.30|0.00|3639.10|0.00|5658.30|4179.70|0.00|4654.30|0.00|4313.80|3141.90|0.00|3976.00|49.20|10174.60|8871.60|0.00|7930.30|29.50|11963.10|7819.70|47.80|7853.00|0.00|8145.20|6518.90|0.00|6094.20|0.00|7770.80|5420.60|5.20|6543.90|0.00|10391.10|8751.70|0.20|8342.70|0.00|15512.70|8469.60|226.80|8143.30|0.00
Dabur India Ltd.|20236|15865.10|17792.20|29350.90|25116.30|24.40|4.30|16828.65|4794.50|15.40|3900.30|4509.50|78.40|33404.00|29469.00|17.20|2.20|21101.45|3190.20|36.80|3901.90|4975.60|50.30|3074.70|3048.10|0.00|2314.10|0.00|3588.50|3534.80|0.00|3482.50|0.00|4011.20|3934.30|41.10|3732.50|0.00|4632.60|4613.20|0.00|3789.90|0.00|4019.30|4004.20|0.00|2949.10|1.30|4720.50|4647.30|0.00|4458.10|0.00|5150.60|5138.00|0.00|4267.30|0.00|5862.90|5838.80|0.00|4870.30|1.20|5378.30|5339.00|0.00|4394.50|7.40|5352.90|5304.80|0.00|5082.20|0.00|5941.20|5877.60|0.00|5039.20|0.00|6852.70|6794.20|0.00|5842.00|0.00|6245.40|6202.30|0.00|5082.30|0.00|6464.70|6429.00|0.00|5840.80|1.40|7124.50|7052.40|0.00|6165.50|1.00|8012.60|7974.80|0.00|6805.60|0.00|7345.40|7283.00|0.50|5950.80|0.00|7614.10|7541.40|0.00|7136.30|0.00|8069.00|8002.50|0.00|7197.90|0.00|9101.20|9063.60|0.00|7522.60|0.00|8328.30|8241.70|0.00|7325.10|0.00
Deccan Chronicle Holdings Ltd.|58131|18463.70|20530.90|9232.50|6623.30||13.00|19497.30|3872.70||100.60|7700.40|131.80|10317.00|9191.80||7.90|21308.45|1403.20||116.60|8638.80|163.60|968.90|895.00|0.00|867.80|0.00|1125.10|1096.30|0.00|892.60|0.00|1529.00|1492.20|0.00|885.90|0.00|1516.20|1463.90|0.00|1031.80|0.00|1680.80|1475.50|0.00|1424.90|0.00|1836.10|1733.50|0.00|998.60|0.00|1968.50|1877.70|0.00|1142.50|0.00|2264.50|2162.00|0.00|1235.10|0.00|2133.40|2050.50|0.00|2106.90|0.00|1994.60|1935.30|0.00|1384.80|0.00|2418.90|2264.30|0.00|1966.20|0.00|2282.80|2147.00|0.00|2026.10|0.00|1879.70|1802.60|0.00|1798.20|0.00|2237.00|2166.20|0.00|1466.80|0.00|2583.50|2508.50|0.00|1584.50|0.00|2408.80|2333.70|0.00|1632.10|0.00|1989.90|1916.50|0.00|1924.90|0.00|2408.20|2318.30|0.00|1495.90|0.00|2459.80|2366.60|0.00|1633.70|0.00|2092.60|1996.10|0.00|1740.80|0.00|3348.60|3081.00||3814.30|
Dena Bank|64191|484647.50|575890.60|46210.50|41098.00||5.00|528117.90|26538.20||108.00|4070.50|39.30|55877.00|49760.70||3.80|640111.95|30301.20||163.50|4036.00|62.90|5860.80|4358.00||4556.10||5396.10|4774.00||5211.20||6003.10|5264.90||5315.60||6858.90|5301.40|0.00|6153.60|0.00|6925.20|5844.90|82.80|6487.20||7024.20|6194.40|0.00|6468.40|0.00|7644.90|6495.80|0.00|6723.40|0.00|8041.30|6766.20|0.00|7030.60|0.00|10113.10|7302.40|1283.30|9003.20||8344.00|7674.60||7661.00||9138.40|8286.30|0.00|8110.10|0.00|10935.40|9556.10|0.00|9531.80|0.00|10358.30|8957.90|0.00|9246.60|0.00|11238.20|9684.70|0.00|10088.00|0.00|10880.30|9627.50|0.00|9633.90|0.00|11490.40|10159.00|0.00|10145.20|0.00|12381.00|10632.40||11010.30||12217.80|11146.80|0.00|10829.90|0.00|13403.80|12214.70|0.00|11797.50|0.00|14169.50|12898.90|0.00|12617.40|0.00|15882.60|14074.90||14312.60|
Dish T V India Ltd.|63910|20972.20|28773.30|11534.30|14152.50||80.20|24872.75|46.90||752.10|10150.50|279.20|15245.90|17159.40||171.00|27825.70|4004.40||782.30|13636.90|138.20|||||||||||||||||||||666.40|658.80|0.00|1668.20|0.00|893.40|892.90|0.00|1791.00|0.00|775.20|755.00|0.00|1694.60|0.00|1125.00|1120.60|0.00|2289.40|0.00|1363.60|1363.00|0.00|2514.20|0.00|1646.30|1644.70|0.00|2900.70|0.00|1733.20|1732.90|0.00|3274.30|0.00|1928.90|1928.00|0.00|3109.50|0.00|2081.20|2071.30|0.00|2867.90|0.00|2521.00|2466.90|0.00|3213.10|0.00|2579.20|2575.00|0.20|3140.50|0.00|2785.60|2774.60|0.00|3548.40|0.00|3195.30|3031.50|0.00|3804.30|0.00|3319.60|3043.00|0.00|3954.30|0.00|3507.70|3261.50|0.00|3958.80|0.00|3912.10|3731.60|0.00|4369.60|0.00|4517.30|4329.50|0.00|4887.40|0.00
Divi'S Laboratories Ltd.|21009|15748.40|18884.70|9668.60|7217.40|1.50||17316.55|3581.50|112.80|1.00|5896.70||13581.30|8879.60|||21000.40|3261.00|159.80|1.60|5897.20||1296.70|1270.90|0.00|1040.50|0.00|1652.00|1608.40|0.00|1340.80|0.00|1647.70|1613.70|0.00|1241.80|0.00|1523.00|1496.20|2.30|1122.00|0.00|2559.90|2525.90|0.00|1640.80|0.00|2347.50|2280.70|36.20|1737.00|0.00|2544.20|2441.10|99.90|1843.50|0.00|2922.90|2869.90|50.20|1869.00|0.00|2831.80|2783.90|6.70|1983.20|0.00|2745.70|2695.70|33.10|2061.00|0.00|3380.20|3338.00|16.40|2405.40|0.00|2755.70|2721.70|2.80|2366.00|0.00|3306.40|3279.40|0.00|2102.00|0.00|2150.40|2121.90|0.00|1799.10|0.00|2296.30|2264.90|0.00|1679.20|0.00|1996.40|1958.40|0.00|1654.00|0.00|3185.10|3121.30|0.00|2046.30|0.00|2742.70|2693.70|0.00|2022.20|0.00|2628.10|2568.50|0.00|1810.80|0.00|3220.60|3149.70|0.00|2094.40|0.00|4902.20|4807.60|0.00|2865.30|0.00
Dr. Reddy'S Laboratories Ltd.|21002|77492.00|90367.00|50870.00|43582.00||5.00|83929.50|12354.00|4017.00|77.00|13156.00|69.00|59415.00|51271.00||12.00|96520.00|2463.00|5457.00|210.00|16910.00|17.00|5402.60|4986.30|152.80|5649.20|50.00|7721.80|7009.30|0.00|6517.20|0.00|9489.60|8364.50|0.00|7028.00|0.00|12121.10|11533.90|0.00|7337.80|195.00|11510.60|10593.30|0.00|8306.60|277.10|8014.40|7273.00|0.00|6908.70|0.00|9244.40|8798.80|0.00|8563.30|0.00|8206.80|7932.50|0.00|7844.30|0.00|11185.30|10891.20|0.00|9069.00|0.00|11185.30|10891.20|0.00|9069.00|0.00|9551.80|9394.70|0.00|9177.90|0.00|10575.20|10421.20|0.00|9660.20|0.00|11665.10|11510.00|0.00|10102.00|0.00|12207.10|12043.60|0.00|9921.50|0.00|11390.10|11258.60|0.00|9855.00|0.00|10863.80|10507.40|0.00|9663.70|0.00|12844.30|11722.80|0.00|10577.20|321.10|12921.80|12712.60|0.00|10814.30|0.00|13492.30|12968.80|0.00|11243.50|0.00|14269.70|13897.60|0.00|12147.20|0.00|13757.70|13466.60|0.00|12093.20|557.40
Educomp Solutions Ltd.|85500|11798.30|22002.10|8753.10|6537.20|183.80||16900.20|2884.20||144.60|1252.90|487.60|10698.60|6879.80||2.80|24246.15|3271.20||153.80|1280.50|391.00|256.50|253.70||199.60||102.50|93.70||84.60||200.90|197.10||151.10||292.00|275.70||208.70||518.70|498.60||402.00||313.60|275.00||257.00||486.10|449.40||395.10||774.10|715.20||864.70||1195.30|1181.30||533.00||721.00|694.10||557.00||1036.50|981.30||789.90||1469.60|1452.80||1339.40||2213.30|1839.00||1532.70||1603.40|1479.90||1007.10||2149.10|2068.70|0.00|1732.40|0.00|2159.90|2038.80|0.30|1451.40||2823.50|2734.90||2329.30||1731.80|1657.90|0.00|1346.10|0.00|2130.00|1991.70|0.00|1200.40|0.00|2843.20|2764.20|0.00|1827.90|0.00|3956.80|3792.90|0.00|2468.80|0.00
Escorts Ltd.|28211|28165.10|31931.50|28594.70|27776.80|8.00||29350.95|605.70|198.60|367.10|14497.10|49.30|33533.50|32681.30|9.90||31596.65|1862.50|255.40|498.30|14618.80|58.60|4483.70|4415.80|67.90|4724.90|88.70|4785.00|4785.00|0.00|4936.20|0.00|6266.50|5320.80|0.00|5816.90|337.10|5178.20|5178.20|0.00|5385.70|0.00|5736.50|5736.40|0.00|5724.50|0.40|5173.70|5155.00|18.70|4996.20|0.20|5042.00|4951.70|90.20|4941.00|53.00|4360.90|4319.70|41.20|4817.00|13.50|5314.80|5314.70|0.00|4930.20|0.60|5428.30|5428.00|0.00|5555.70|1.30|5411.50|5452.70|-41.20|5399.60|178.60|5016.20|5016.20|0.00|5098.30|0.60|4957.20|4916.20|41.00|4749.50|0.00|5833.20|5833.20|0.00|5706.00|0.60|6089.60|6035.30|38.90|5627.10|-1.20|6038.60|6038.60|0.00|5803.70|0.00|6764.40|6755.60|0.00|6583.70|29.10|8111.30|8108.50|0.00|7983.00|6.40|6852.70|6744.00|119.30|6571.40|-35.50|8383.40|8377.40|6.00|8232.40|0.00|9465.30|8971.80|374.40|8785.00|0.00
Essar Oil Ltd.|19209|221137.70|260059.70|432781.00|435594.50|414.90||240598.70|14153.70|38.60||123093.50|185.10|536966.50|551059.80|0.00|10834.30|303949.20|11802.00|522.90||117440.90|141.30|826.20|816.40|0.00|621.60|9.00|416.60|402.60|0.00|656.80|0.00|300.20|274.30|0.00|401.20|0.00|1408.20|1372.10|0.00|2001.10|0.00|2681.70|2652.70|0.00|2461.80|0.00|1979.50|1913.30|0.00|2324.30|0.00|1810.00|1780.00|0.00|1960.00|0.00|1500.00|1480.00|0.00|1350.00|0.00|520.00|490.00|30.00|410.00|0.00|87640.00|87420.00|0.00|85330.00|0.00|136910.00|136840.00|0.00|140020.00|0.00|84420.00|84050.00|290.00|85520.00|0.00|69580.00|68150.00|310.00|62910.00|0.00|67670.00|65920.00|0.00|69680.00|0.00|97020.00|95950.00|190.00|100680.00|0.00|101490.00|99580.00|150.00|102390.00|0.00|107910.00|104820.00|0.00|104160.00|0.00|105730.00|105610.00|30.00|112870.00|0.00|110790.00|109350.00|0.00|112960.00|0.00|123330.00|122690.00|0.00|117430.00|0.00|134020.00|133390.00|0.00|135650.00|0.00
Everest Kanto Cylinder Ltd.|25121|9747.90|9607.80|4348.50|4216.00|4.90|103.20|9677.85|274.70||6.90|1872.70||4145.80|3495.50||0.70|9725.10|619.10||5.70|2247.90|23.10|818.60|801.60|0.00|693.00|0.00|802.10|795.70|0.00|820.40|0.00|1007.20|1001.10|0.00|917.40|0.00|831.00|708.30|0.00|850.40|0.00|803.40|800.80|1.00|657.20|0.00|661.50|654.80|0.00|587.40|0.00|817.70|804.50|0.00|643.70|0.00|844.60|825.20|0.00|913.60|0.00|1137.70|1075.50|0.00|828.70|35.10|959.50|921.70|0.00|774.80|0.00|1112.80|1078.40|0.00|986.20|0.00|859.00|828.60|0.00|1018.60|0.00|761.80|742.80|0.00|785.00|66.00|769.50|659.60|0.00|720.70|0.00|953.80|940.70|0.00|1057.90|0.00|1069.80|1021.30|0.00|1237.80|0.00|1227.20|916.40|198.70|870.60|8.30|852.90|776.90|65.00|923.50|0.00|1299.10|1185.20|0.00|893.80|0.00|855.00|818.10|0.00|773.90|0.00|1064.80|1011.00|0.00|840.60|0.00
Exide Industries Ltd.|27201|21211.50|29713.30|45860.30|40960.30|0.50|4.00|25148.10|5238.40|88.20||6766.80|0.00|52270.90|47484.40|678.40|4.60|32683.85|3977.90|86.70||8358.40|6.20|3849.40|3837.30|0.00|3525.00|0.00|4393.30|4384.50|0.00|3983.10|0.00|4535.80|4511.90|0.00|4332.40|0.00|4536.80|4517.90|0.00|4484.50|0.00|5331.00|5288.90|0.00|5172.70|0.00|6761.90|6639.20|0.00|6157.50|0.00|6682.50|6681.10|0.00|6793.20|0.00|7276.20|7221.90|0.00|6756.70|0.00|7973.30|7955.90|0.00|7318.30|0.00|9088.80|9084.50|0.00|8332.70|0.00|9008.30|9008.30|0.00|8461.70|0.00|7892.30|7892.30|0.00|7638.20|0.00|8011.30|7995.00|0.00|6464.70|0.00|9094.90|9034.60|0.00|7190.20|0.00|9522.40|9507.00|4.00|8286.60|0.00|9139.30|9133.50|0.00|8736.50|0.00|10398.90|10298.40|0.00|9064.00|0.00|11631.90|11520.80|0.00|9993.80|0.00|11932.20|11272.00|469.30|10293.00|0.00|10833.00|10456.40|8.20|9878.80|19.20|12673.60|12458.00|0.00|12250.00|0.00
Federal Bank Ltd.|64191|389765.90|438223.10|43258.10|38612.60|3.90||413934.65|-448.20||104.60|2897.70|16.80|45688.40|39817.60|3.30||477549.50|23310.40||181.20|2898.10||4600.40|3903.10||4093.10||4625.20|4082.70|0.00|4223.40|0.00|5063.20|4337.10|0.00|4368.60|0.00|4985.70|4404.00|0.00|4147.30|0.00|6366.30|5273.20||5373.80||6597.00|5552.20|0.00|5927.60|0.00|6750.60|5943.70|0.00|5797.30|0.00|7336.10|6486.60||6306.90||8417.90|7171.90||7389.30||8413.30|7451.20||7731.80||9323.10|8281.00||8180.30||10412.30|8764.20||8373.40||10162.80|8657.40||9021.10||10217.90|8743.80||8854.10||10375.00|9010.70||9364.30||10611.20|9446.40||9508.70||10837.30|9531.40||9668.80||10616.80|9517.90||9298.20||11223.80|9783.40||9819.80||11435.70|10218.80||10004.70||12412.10|11000.20||10694.90|
Financial Technologies (India) Ltd.|46909|24178.00|27199.20|6543.70|3100.00|30.80||25688.60|1101.70|105.50||874.00|145.30|5746.40|4827.10||2102.20|27461.60|-516.60|108.70||3868.70|114.50|204.90|194.40|0.00|165.70|16.40|231.90|164.40||131.00||410.20|213.30||146.70||571.30|302.10||197.70||527.90|308.50||275.20||1028.30|267.30||419.90||4609.90|309.50||1226.10||7191.80|393.80||1821.10||617.70|392.80||369.60||2652.70|440.00|6.20|953.60||1465.10|1288.20||695.00||1053.90|687.00||621.60||2165.10|1148.40||1380.20||851.50|584.50||646.10|5.10|3492.90|856.30||1310.50|2.80|1193.50|1053.20|17.70|576.00||960.30|835.60||521.90|14.00|943.40|736.30||491.90|1.80|1472.00|1092.10|3.30|625.50||1401.30|814.10|4.10|613.40||1794.10|934.50|596.00|2960.70|2412.70
Firstsource Solutions Ltd.|63999|24244.10|22897.70|8338.70|7665.40|5.10||23570.90|1574.00||2.40|1110.30|91.20|7696.20|7033.30||15.00|23713.65|784.90|||1574.20|782.80|896.90|896.80|0.00|804.40|0.00|954.00|952.20|0.00|856.30|0.00|1084.30|1074.00|0.00|868.20|0.00|1136.00|1095.70|0.00|937.80|0.00|1218.30|1204.90|0.00|987.50|0.00|1226.40|1132.90|0.00|1036.80|0.00|1275.60|1203.40|0.00|1121.00|0.00|1316.00|1314.60|0.00|1167.10|0.00|1480.70|1348.60|0.00|1351.30|0.00|1437.50|1349.30|0.00|2019.70|0.00|1589.80|1448.90|16.80|1320.10|0.00|1450.20|1411.50|18.90|1459.60|0.00|2145.10|1482.60|662.50|1672.10|0.00|1771.50|1569.80|22.60|1518.80|0.00|1669.50|1638.20|13.10|1518.10|0.00|1694.50|1662.90|21.00|1592.60|0.00|1803.70|1755.00|48.70|1636.30|0.00|1724.40|1645.80|0.00|1590.80|0.00|1802.00|1753.50|0.00|1590.00|0.00|1916.90|1800.80|0.00|1745.70|0.00|1952.90|1829.60|0.00|1806.80|0.00
Fortis Healthcare Ltd.|86100|12127.90|29231.90|2542.90|2241.40||4.80|20679.90|156.60|||722.10|13.20|4409.90|2991.80||4.60|32544.80|-0.50|||735.70|9.50||||||301.90|290.90|0.00|440.00|0.00|426.50|404.40|0.00|529.60|0.00|239.20|230.30|0.00|354.10|0.00|360.30|340.80|0.00|491.00|0.00|424.50|361.90|0.00|457.50|0.00|467.20|423.90|0.00|520.20|0.00|493.00|385.10|0.00|476.90|0.00|516.10|408.50|0.00|420.10|0.00|443.80|402.70|0.00|458.20|0.00|486.90|419.50|0.00|519.90|0.00|496.00|459.30|0.00|512.70|0.00|507.80|463.00|0.00|515.70|0.00|544.20|505.70|0.00|559.80|0.00|537.60|497.40|0.80|514.80|0.00|639.30|515.80|0.00|515.30|0.00|789.30|579.20|0.00|618.90|0.00|1042.40|615.50|0.00|766.00|0.00|1200.90|649.60|0.00|824.70|0.00|1107.60|653.10|0.00|680.30|0.00|1061.60|682.70|0.00|723.40|0.00
G A I L (India) Ltd.|52109|257359.50|303867.30|259288.10|228095.60||75.50|280613.40|46774.30|161.70|133.30|119311.00|1972.50|334264.90|299978.50|145.70||315747.00|30772.50|295.50|209.20|124035.70|2128.50|37442.20|36598.10|0.00|33266.00|0.00|41584.70|40784.10|0.00|36992.70|0.00|38743.60|37069.90|0.00|33987.90|0.00|45630.00|43783.70|0.00|38387.10|0.00|43362.20|38834.10|3399.20|36838.70|0.00|43369.50|42456.80|0.00|36485.10|0.00|47095.00|45457.90|0.00|41425.90|2570.00|44831.50|43252.80|0.00|38071.70|0.00|50349.50|49430.70|0.00|43947.00|135.30|58454.80|57382.20|0.00|49200.30|0.00|63582.00|61726.10|0.00|54082.40|0.00|60468.10|58160.20|0.00|57308.90|0.00|63459.50|62578.20|0.00|57385.80|0.00|61190.70|60591.40|0.00|54248.40|0.00|63922.20|62454.60|0.00|56654.50|0.00|63555.20|62296.20|0.00|55040.60|0.00|66706.90|65690.30|0.00|58239.00|0.00|71635.00|71157.50|0.00|63481.20|0.00|82781.00|81282.20|0.00|74100.00|0.00|85742.10|83836.20|0.00|75886.70|0.00|89614.10|89089.30|0.00|82017.90|41.80
G M R Infrastructure Ltd.|64920|61409.00|84966.00|1845.50|1837.80|||73187.50|347.90||14.10|237.20||7343.80|6755.00||0.30|92155.15|77.10||24.20|818.30|16.40||||||2.20|113.80||92.80||46.90|||56.70||64.70|||59.20||227.50|220.10||103.80||211.50|70.70||204.20||303.70|157.50||214.40||370.10|179.60||213.30||644.40|619.90||270.80||652.90|554.40||234.00||407.20|407.20||165.30||373.30|372.00||150.60||288.60|255.90||195.40||179.00|174.80||143.40||433.60|395.80||321.70||517.80|517.80||499.40||755.40|576.00|97.00|912.50||780.20|766.90||837.60||1283.40|1270.50||1124.60||1445.60|1420.70||1318.70||3827.50|3815.90||3429.90|
G O L Offshore Ltd.|50119|28998.50|35694.40|10139.50|8393.30|40.50||32346.45|4070.50|||15615.40||9406.10|8389.10|583.70||40268.90|2993.00|||15252.10|23.20||||||1158.70|1122.30|0.00|807.60|0.00|1279.60|1270.50|0.00|891.70|0.00|1488.80|1482.70|0.00|1113.40|0.00|1519.40|1492.90|0.00|1219.60|0.00|1740.10|1450.10|207.20|1178.40|0.00|1696.60|1523.30|0.00|1200.50|0.00|2016.50|1939.90|0.00|1466.10|0.00|2049.90|1858.00|179.90|1626.00|0.00|2030.30|2026.80|0.00|1910.20|0.00|1802.50|1792.90|0.00|1633.70|0.00|2764.40|2758.30|0.00|2187.20|0.00|2699.00|2696.50|0.00|1985.50|0.00|2479.30|2475.40|0.00|2257.30|0.00|2361.70|2359.40|0.00|2047.80|0.00|2508.80|2506.50|0.00|2013.40|0.00|2787.80|2785.20|0.00|2072.90|0.00|2488.50|2392.90|0.00|2221.20|0.00|2017.50|2012.30|0.00|1736.60|0.00|2020.50|1977.90|36.80|2002.20|0.00|2728.60|2163.40|558.00|2278.10|0.00
G T L Infrastructure Ltd.|61101|52121.20|66629.60|6984.90|7010.70|12.80||59375.40|1209.10|3.70|19.10|30475.60|10.70|8024.50|9417.40|18.10|0.00|71209.75|3436.90|4.70|5.10|35672.40|6.40|||||||||||87.40|167.60|0.00|89.80|0.00|244.70|169.10|0.00|173.10|0.00|187.20|162.90|0.00|488.00|0.00|453.00|179.40|0.00|352.30|0.00|303.10|271.70|18.80|563.50|0.00|450.90|372.80|0.00|611.00|0.00|473.10|421.90|0.00|748.10|0.00|558.40|457.70|0.00|590.30|0.00|799.00|530.70|0.00|654.10|0.00|754.70|579.10|0.00|768.70|0.00|684.30|640.90|0.00|754.90|0.00|1332.90|719.70|0.00|1145.90|0.00|935.60|813.10|0.00|1314.40|0.00|1227.60|915.60|0.00|997.10|0.00|1598.50|1031.10|0.00|1663.00|0.00|1437.40|1104.60|0.00|1630.70|0.00|1500.70|1169.10|0.00|1662.40|0.00|1254.10|1239.60|0.00|1874.00|0.00|1413.30|1391.00|0.00|1831.20|0.00
G T L Ltd.|61202|30733.10|43365.80|16786.60|14684.20|5.90||37049.45|2799.00|12.50|1.10|2878.80|528.00|33527.30|33491.10|21.60|0.20|56042.00|3216.00|41.10|86.40|5235.70|451.70|1313.20|1313.20|0.00|1264.60|0.00|1749.30|1304.90|289.20|1327.50|0.00|1457.30|1450.50|0.00|1380.90|0.00|2183.30|2168.40|0.00|2084.80|0.00|3297.10|3297.10|0.00|3041.70|0.00|3362.60|3362.60|0.00|3138.40|0.00|3830.90|3626.30|204.60|3376.90|0.00|3666.30|3622.30|14.20|1669.90|0.00|3722.00|3722.00|0.00|3817.80|0.00|3185.70|3185.70|0.00|3344.90|0.00|3746.50|3743.40|0.00|3938.20|0.00|3417.70|3417.70|0.00|3352.30|0.00|4233.80|4120.00|0.00|3558.50|100.00|3726.10|3509.90|0.00|3327.80|0.00|3904.20|3904.20|0.00|3997.60|0.00|3825.40|3709.60|0.00|3214.40|0.00|4701.20|4389.60|0.00|3514.20|0.00|4397.00|4397.00|0.00|4848.20|0.00|6431.90|6431.90|0.00|5990.60|0.00|7157.20|7140.70|0.00|7483.00|0.00|6584.60|5969.50|0.00|5879.90|0.00
